Employee_ID,First_Name,Last_Name,Department,Salary,Date_of_Joining,Email
BIZ0001,Taylor,Smith,Sales,116228,2023-04-04,fyfag_180@bizgroup.com
BIZ0002,Emily,Williams,HR,84961,2021-11-29,nimlx_893@bizgroup.com
BIZ0003,Jordan,Garcia,Sales,107806,2022-03-06,bfpkd_756@bizgroup.com
BIZ0004,Alex,Miller,Marketing,107248,2022-04-03,mohxb_130@bizgroup.com
BIZ0005,Alex,Brown,HR,114459,2023-06-02,jfokh_142@bizgroup.com
BIZ0006,Emily,Smith,IT,43127,2022-05-30,hyzlk_241@bizgroup.com
BIZ0007,Emily,Miller,IT,48991,2022-08-24,rgdqe_565@bizgroup.com
BIZ0008,Sam,Davis,Finance,87194,2023-04-01,fgyho_322@bizgroup.com
BIZ0009,Jordan,Williams,Finance,80041,2022-08-02,nqvoy_373@bizgroup.com
BIZ0010,John,Brown,IT,100987,2022-04-20,pkykm_349@bizgroup.com
BIZ0011,Alex,Davis,Sales,95073,2021-06-06,tljfw_773@bizgroup.com
BIZ0012,Taylor,Garcia,IT,62446,2021-07-24,cdays_136@bizgroup.com
BIZ0013,Alex,Davis,Finance,109660,2023-09-27,vasvf_906@bizgroup.com
BIZ0014,Jane,Johnson,Marketing,57953,2024-01-07,erzag_303@bizgroup.com
BIZ0015,Jane,Garcia,Finance,105619,2021-08-11,bslut_448@bizgroup.com
BIZ0016,Alex,Miller,Operations,76626,2022-01-24,lvxum_481@bizgroup.com
BIZ0017,Taylor,Brown,Operations,111387,2023-02-03,gvcrd_227@bizgroup.com
BIZ0018,Emily,Brown,Marketing,44855,2020-12-21,ijstr_232@bizgroup.com
BIZ0019,Emily,Williams,IT,111345,2023-05-09,nouzq_241@bizgroup.com
BIZ0020,John,Brown,Marketing,85116,2021-10-22,cxuip_568@bizgroup.com
BIZ0021,John,Johnson,HR,46432,2023-11-28,abuar_135@bizgroup.com
BIZ0022,Jordan,Smith,Marketing,87433,2023-01-20,nxjjc_435@bizgroup.com
BIZ0023,Sam,Davis,IT,109810,2022-03-13,eiozn_127@bizgroup.com
BIZ0024,Sam,Davis,IT,53704,2022-03-21,ibcib_530@bizgroup.com
BIZ0025,Alex,Brown,IT,82890,2022-05-28,exndt_641@bizgroup.com
BIZ0026,Jane,Miller,Operations,68365,2022-03-22,tznez_329@bizgroup.com
BIZ0027,Jane,Jones,Sales,110589,2020-05-13,yulfh_279@bizgroup.com
BIZ0028,Alex,Smith,Operations,80700,2023-02-25,gylwj_594@bizgroup.com
BIZ0029,Emily,Davis,HR,102854,2023-04-15,xieuh_772@bizgroup.com
BIZ0030,Chris,Jones,HR,41476,2022-11-16,qgjti_539@bizgroup.com
BIZ0031,Alex,Garcia,HR,94583,2022-08-29,ezdgy_438@bizgroup.com
BIZ0032,John,Davis,Sales,105156,2022-10-13,lkzyo_293@bizgroup.com
BIZ0033,Chris,Brown,Operations,118973,2022-02-11,eiust_582@bizgroup.com
BIZ0034,Sam,Miller,Operations,70634,2021-11-21,gnkpx_108@bizgroup.com
BIZ0035,Alex,Brown,Marketing,101861,2022-01-13,wzwmz_693@bizgroup.com
BIZ0036,Sam,Davis,Finance,106198,2022-05-29,ktnsb_505@bizgroup.com
BIZ0037,Taylor,Johnson,IT,57584,2020-10-18,hxlzv_908@bizgroup.com
BIZ0038,Chris,Williams,HR,86429,2022-01-21,tgeel_923@bizgroup.com
BIZ0039,Emily,Johnson,HR,101000,2020-11-02,swzaw_940@bizgroup.com
BIZ0040,Jane,Johnson,Finance,59032,2023-06-24,qgyvj_357@bizgroup.com
BIZ0041,Sam,Jones,IT,110445,2020-12-24,wgltb_575@bizgroup.com
BIZ0042,Jane,Garcia,Marketing,118173,2020-09-28,tmbwp_886@bizgroup.com
BIZ0043,Emily,Davis,IT,52943,2023-06-28,cywuq_406@bizgroup.com
BIZ0044,Jordan,Miller,Sales,69019,2022-05-20,tcwce_257@bizgroup.com
BIZ0045,Chris,Miller,HR,69844,2023-08-25,ebbkk_477@bizgroup.com
BIZ0046,Sam,Jones,Finance,115915,2021-05-23,cgrrj_290@bizgroup.com
BIZ0047,Emily,Davis,Sales,74060,2022-07-08,kpvwn_398@bizgroup.com
BIZ0048,Chris,Smith,IT,117993,2021-02-06,kmxjj_355@bizgroup.com
BIZ0049,Sam,Williams,Sales,101963,2022-08-09,wnvdd_695@bizgroup.com
BIZ0050,Jordan,Jones,Finance,83344,2023-10-21,nvcgh_758@bizgroup.com
