Employee_ID,First_Name,Last_Name,Department,Salary,Date_of_Joining,Email
GRE0001,Emily,Garcia,Finance,111256,2022-11-14,hsgbo_226@greensys.com
GRE0002,Jordan,Davis,Sales,108598,2023-05-14,ywugp_692@greensys.com
GRE0003,Chris,Jones,Finance,44335,2021-02-25,mtdhw_375@greensys.com
GRE0004,Sam,Davis,Operations,56276,2021-06-13,msstt_963@greensys.com
GRE0005,Alex,Garcia,IT,78284,2022-04-12,xqbdr_367@greensys.com
GRE0006,Sam,Williams,HR,108666,2023-03-06,nbdkm_199@greensys.com
GRE0007,Jordan,Smith,Finance,103189,2021-02-23,boqni_721@greensys.com
GRE0008,Chris,Miller,Finance,41218,2023-05-20,jivxf_304@greensys.com
GRE0009,Chris,Garcia,Marketing,86204,2023-04-01,cctgv_500@greensys.com
GRE0010,Chris,Jones,HR,57810,2023-06-17,eopwu_594@greensys.com
GRE0011,Sam,Williams,Sales,71761,2021-11-02,urkug_632@greensys.com
GRE0012,Jane,Williams,Marketing,69271,2020-07-07,cyugm_121@greensys.com
GRE0013,Sam,Jones,Marketing,61493,2022-08-01,mujth_795@greensys.com
GRE0014,Jordan,Johnson,Operations,78948,2022-07-29,ewujc_265@greensys.com
GRE0015,Alex,Miller,Operations,50803,2023-02-07,leggj_435@greensys.com
GRE0016,Alex,Williams,Marketing,80565,2023-08-17,qbrjw_245@greensys.com
GRE0017,Jane,Jones,Finance,117477,2023-04-05,gwylg_695@greensys.com
GRE0018,Sam,Brown,HR,66380,2021-09-02,fmwuw_262@greensys.com
GRE0019,Emily,Smith,IT,84249,2020-01-21,awgxo_609@greensys.com
GRE0020,Alex,Johnson,Finance,105513,2023-05-11,iksur_863@greensys.com
GRE0021,Jane,Johnson,IT,43325,2022-01-18,qbbcv_908@greensys.com
GRE0022,Sam,Jones,Marketing,84052,2022-09-18,bmqpq_565@greensys.com
GRE0023,Taylor,Johnson,Operations,47221,2023-06-24,ptjrh_919@greensys.com
GRE0024,Emily,Smith,HR,70470,2020-05-21,jppvu_179@greensys.com
GRE0025,Alex,Garcia,Operations,98585,2020-12-26,cxhgg_502@greensys.com
GRE0026,Sam,Smith,Sales,106747,2023-11-17,lgbiz_314@greensys.com
GRE0027,Sam,Williams,HR,45765,2023-11-18,kcspp_649@greensys.com
GRE0028,Alex,Garcia,Sales,100975,2022-09-12,wmuko_936@greensys.com
GRE0029,Taylor,Garcia,HR,105546,2020-05-08,cdupg_524@greensys.com
GRE0030,Jane,Johnson,HR,91807,2023-10-23,zpkwk_308@greensys.com
GRE0031,Jane,Johnson,Sales,72147,2022-11-25,kedlo_489@greensys.com
