Employee_ID,First_Name,Last_Name,Department,Salary,Date_of_Joining,Email
SKY0001,Emily,Johnson,IT,96336,2021-08-19,sytal_432@skynet.com
SKY0002,Sam,Davis,IT,52171,2023-06-17,fxqtw_732@skynet.com
SKY0003,John,Miller,IT,73280,2020-02-12,vndik_401@skynet.com
SKY0004,Jordan,Smith,HR,81523,2022-08-14,gxzgg_375@skynet.com
SKY0005,John,Davis,Sales,60531,2023-01-03,wcadg_854@skynet.com
SKY0006,Taylor,Davis,Sales,104225,2023-02-15,dyjmo_676@skynet.com
SKY0007,Emily,Brown,IT,84936,2022-11-24,hyqzv_298@skynet.com
SKY0008,Chris,Brown,IT,66898,2020-08-13,jifoy_192@skynet.com
SKY0009,Jane,Jones,Finance,49758,2023-03-21,rzjay_454@skynet.com
SKY0010,Sam,Brown,Sales,95622,2020-11-12,wqusy_931@skynet.com
SKY0011,John,Brown,HR,98482,2021-07-04,agarc_701@skynet.com
SKY0012,John,Johnson,Operations,55567,2021-04-04,skwwy_754@skynet.com
